value_loss,time_elapsed,policy_entropy,n_updates,clipfrac,total_timesteps,fps,approxkl,serial_timesteps,policy_loss,explained_variance
0.02605386,11.922958135604858,0.693147,46,0.0,5888,573,1.3111842e-08,5888,-4.634727e-06,0.501300722360611
0.020301834,12.147264003753662,0.6931468,47,0.0,6016,564,2.2116883e-08,6016,-3.630994e-07,0.5822483599185944
0.025404135,12.375067234039307,0.69314635,48,0.0,6144,564,9.488063e-08,6144,-4.042941e-05,0.5166236460208893
0.025125315,12.602918148040771,0.6931449,49,0.0,6272,560,8.161406e-08,6272,-7.3667616e-07,0.5185981392860413
0.024621455,12.832451105117798,0.6931438,50,0.0,6400,569,5.132387e-08,6400,-1.2628268e-05,0.5339314937591553
0.021192577,13.05816912651062,0.6931421,51,0.0,6528,564,4.2713467e-08,6528,-8.185743e-06,0.5878750383853912
0.02547203,13.285890102386475,0.693141,52,0.0,6656,574,4.7487467e-09,6656,5.977927e-07,0.5630184412002563
0.024971392,13.509817123413086,0.69314176,53,0.0,6784,571,4.0578435e-08,6784,-1.4877063e-05,0.4934210777282715
0.0243317,13.734678030014038,0.6931434,54,0.0,6912,567,4.385686e-08,6912,-6.9502275e-06,0.5061294436454773
0.0234603,13.961235046386719,0.6931447,55,0.0,7040,572,4.085212e-08,7040,-7.677707e-06,0.5416819453239441
0.017235411,14.185909986495972,0.6931448,56,0.0,7168,564,5.1846236e-08,7168,-3.6535435e-05,0.5958587229251862
0.024748255,14.413514137268066,0.6931429,57,0.0,7296,574,4.903454e-08,7296,-5.152542e-07,0.5403545200824738
0.02264396,14.637351989746094,0.69314295,58,0.0,7424,491,1.5252724e-08,7424,-4.4028275e-07,0.5691930949687958
0.02432332,14.898988008499146,0.6931429,59,0.0,7552,461,6.1810326e-08,7552,-4.9292576e-05,0.5408587157726288
0.02349112,15.179383039474487,0.69313973,60,0.0,7680,432,8.2536616e-08,7680,8.395873e-06,0.5321802198886871
0.022243962,15.476222038269043,0.6931382,61,0.0,7808,459,2.9677263e-08,7808,-8.054427e-06,0.5730981230735779
0.017359307,15.756533145904541,0.693136,62,0.0,7936,423,4.0489404e-08,7936,4.71354e-06,0.6049520969390869
0.02092034,16.060467004776,0.69313455,63,0.0,8064,423,1.321535e-08,8064,-3.9812876e-06,0.5937758982181549
0.022438709,16.363645315170288,0.69313264,64,0.0,8192,451,1.4749831e-08,8192,-5.5395067e-06,0.5797866582870483
0.021946432,16.648155212402344,0.6931331,65,0.0,8320,506,1.2136505e-08,8320,-7.326249e-06,0.5920136868953705
0.02134594,16.90192723274231,0.6931353,66,0.0,8448,175,4.4096968e-08,8448,-1.4580088e-05,0.5886375606060028
0.018871265,17.631060123443604,0.6931371,67,0.0,8576,422,3.197196e-09,8576,2.4226028e-07,0.6270935237407684
0.020794196,17.93474006652832,0.6931339,68,0.0,8704,432,2.1872339e-07,8704,-9.199523e-05,0.6085860729217529
0.021658937,18.23160219192505,0.69312745,69,0.0,8832,565,6.185948e-08,8832,2.361578e-05,0.573708713054657
0.020845775,18.458683252334595,0.6931256,70,0.0,8960,349,4.6191673e-08,8960,-2.6469817e-05,0.5871145725250244
0.019969136,18.826122045516968,0.69311935,71,0.0,9088,553,9.197793e-08,9088,-9.197858e-06,0.5968843400478363
0.019769514,19.05830407142639,0.6931164,72,0.0,9216,547,2.9435174e-09,9216,-9.593787e-07,0.5869280397891998
0.019668646,19.29334020614624,0.69311464,73,0.0,9344,535,3.9506496e-08,9344,-1.17167365e-05,0.622236579656601
0.020880286,19.533239126205444,0.6931103,74,0.0,9472,537,3.7303547e-08,9472,-5.18444e-06,0.599896103143692
0.018180538,19.77240800857544,0.69310904,75,0.0,9600,461,8.658867e-10,9600,-2.7212081e-06,0.6551917493343353
0.013481441,20.0507550239563,0.69311166,76,0.0,9728,535,5.4345882e-08,9728,-1.5541329e-05,0.6664376258850098
0.013843785,20.290659189224243,0.69311666,77,0.0,9856,396,6.333364e-08,9856,-7.0922542e-06,0.5805563032627106
0.015215796,20.61460304260254,0.6931193,78,0.0,9984,569,8.389002e-09,9984,1.4253892e-06,0.6329086422920227
0.016536918,20.840282201766968,0.6931211,79,0.0,10112,573,4.1230997e-08,10112,-2.9339339e-05,0.5710620582103729
0.017367838,21.064472198486328,0.6931251,80,0.0,10240,568,3.2585046e-08,10240,7.4051786e-06,0.6205731630325317
0.015002305,21.290598154067993,0.6931228,81,0.0,10368,567,1.878647e-07,10368,-0.00013299065,0.5993430912494659
0.019366048,21.5169620513916,0.6931124,82,0.0,10496,533,1.1357483e-07,10496,2.597284e-05,0.5572740435600281
0.015945321,21.75815510749817,0.6931137,83,0.0,10624,345,4.0282828e-08,10624,-1.7938437e-05,0.6333890855312347
