policy_loss,explained_variance,fps,total_timesteps,n_updates,policy_entropy,time_elapsed,approxkl,value_loss,clipfrac,serial_timesteps
-1.6969163e-05,0.10872942209243774,571,5760,45,0.6931221,11.59323501586914,4.2172555e-08,0.050058205,0.0,5760
-1.3560755e-05,0.07030028104782104,554,5888,46,0.69311225,11.818131923675537,1.7106226e-08,0.045781124,0.0,5888
-2.9604416e-06,0.20166242122650146,573,6016,47,0.69311357,12.049768924713135,4.6120134e-09,0.023240658,0.0,6016
-0.00011015602,0.1042550802230835,560,6144,48,0.69310784,12.27388596534729,2.3993073e-07,0.0404948,0.0,6144
-2.9633637e-05,0.14374756813049316,567,6272,49,0.693089,12.503299951553345,3.537715e-07,0.029127335,0.0,6272
-7.687835e-06,0.1180846095085144,567,6400,50,0.6930907,12.72959280014038,3.97951e-08,0.047053892,0.0,6400
-4.5150635e-05,0.18331706523895264,547,6528,51,0.6930872,12.956122875213623,1.0605997e-07,0.046973683,0.0,6528
-0.00023986585,0.2774468660354614,573,6656,52,0.693057,13.190980911254883,7.3521164e-07,0.026418066,0.0,6656
7.644645e-06,0.12300419807434082,553,6784,53,0.69304055,13.415283918380737,3.5474505e-07,0.052878145,0.0,6784
-1.0211428e-05,0.12955433130264282,571,6912,54,0.69302684,13.647705793380737,7.495236e-09,0.04153349,0.0,6912
-7.984287e-05,0.21595251560211182,556,7040,55,0.69302815,13.872459888458252,1.2866435e-07,0.026588848,0.0,7040
4.627311e-05,0.12068510055541992,574,7168,56,0.6930105,14.103265047073364,5.5530336e-08,0.053899214,0.0,7168
-2.1788757e-05,0.16804593801498413,558,7296,57,0.6930154,14.327041149139404,1.0396974e-07,0.036227226,0.0,7296
-1.3215933e-05,0.14381718635559082,570,7424,58,0.6930326,14.55753493309021,4.9771444e-08,0.050195727,0.0,7424
-1.6846927e-05,0.16308534145355225,555,7552,59,0.6930324,14.78282880783081,4.174246e-08,0.03954047,0.0,7552
-8.269562e-06,0.22299152612686157,574,7680,60,0.6930328,15.01432991027832,1.6771912e-08,0.035087395,0.0,7680
-1.6664038e-05,0.24822956323623657,557,7808,61,0.6930292,15.238412857055664,3.8858236e-08,0.028662533,0.0,7808
-0.00012944965,0.32476305961608887,567,7936,62,0.69301355,15.469002962112427,2.0338445e-07,0.02665174,0.0,7936
-2.3255823e-05,0.18223094940185547,572,8064,63,0.693004,15.69547700881958,2.2490894e-07,0.039934635,0.0,8064
