approxkl,value_loss,clipfrac,explained_variance,n_updates,time_elapsed,policy_loss,fps,serial_timesteps,policy_entropy,total_timesteps
nan,nan,0.0,nan,75,28.1752450466156,nan,492,9600,nan,9600
nan,nan,0.0,nan,76,28.43628215789795,nan,497,9728,nan,9728
nan,nan,0.0,nan,77,28.69468903541565,nan,498,9856,nan,9856
nan,nan,0.0,nan,78,28.95235800743103,nan,501,9984,nan,9984
nan,nan,0.0,nan,79,29.20867896080017,nan,515,10112,nan,10112
nan,nan,0.0,nan,80,29.457881212234497,nan,506,10240,nan,10240
nan,nan,0.0,nan,81,29.711408138275146,nan,517,10368,nan,10368
nan,nan,0.0,nan,82,29.959717988967896,nan,493,10496,nan,10496
nan,nan,0.0,nan,83,30.219923973083496,nan,324,10624,nan,10624
nan,nan,0.0,nan,84,30.615652084350586,nan,425,10752,nan,10752
nan,nan,0.0,nan,85,30.91722011566162,nan,334,10880,nan,10880
nan,nan,0.0,nan,86,31.300695180892944,nan,442,11008,nan,11008
nan,nan,0.0,nan,87,31.590986013412476,nan,412,11136,nan,11136
nan,nan,0.0,nan,88,31.902172088623047,nan,425,11264,nan,11264
nan,nan,0.0,nan,89,32.20414710044861,nan,377,11392,nan,11392
nan,nan,0.0,nan,90,32.5493221282959,nan,417,11520,nan,11520
nan,nan,0.0,nan,91,32.85745429992676,nan,474,11648,nan,11648
nan,nan,0.0,nan,92,33.12875008583069,nan,387,11776,nan,11776
nan,nan,0.0,nan,93,33.46081614494324,nan,427,11904,nan,11904
nan,nan,0.0,nan,94,33.76169204711914,nan,393,12032,nan,12032
nan,nan,0.0,nan,95,34.087855100631714,nan,414,12160,nan,12160
nan,nan,0.0,nan,96,34.397359132766724,nan,450,12288,nan,12288
nan,nan,0.0,nan,97,34.68385696411133,nan,395,12416,nan,12416
nan,nan,0.0,nan,98,35.00923228263855,nan,414,12544,nan,12544
nan,nan,0.0,nan,99,35.319502115249634,nan,258,12672,nan,12672
nan,nan,0.0,nan,100,35.81644821166992,nan,383,12800,nan,12800
nan,nan,0.0,nan,101,36.15163493156433,nan,396,12928,nan,12928
nan,nan,0.0,nan,102,36.47539830207825,nan,437,13056,nan,13056
nan,nan,0.0,nan,103,36.76904511451721,nan,462,13184,nan,13184
nan,nan,0.0,nan,104,37.04677605628967,nan,433,13312,nan,13312
nan,nan,0.0,nan,105,37.3433780670166,nan,425,13440,nan,13440
nan,nan,0.0,nan,106,37.646018266677856,nan,441,13568,nan,13568
nan,nan,0.0,nan,107,37.93690514564514,nan,410,13696,nan,13696
nan,nan,0.0,nan,108,38.249638080596924,nan,360,13824,nan,13824
nan,nan,0.0,nan,109,38.60581421852112,nan,455,13952,nan,13952
nan,nan,0.0,nan,110,38.88799428939819,nan,455,14080,nan,14080
nan,nan,0.0,nan,111,39.169734954833984,nan,432,14208,nan,14208
nan,nan,0.0,nan,112,39.46635413169861,nan,389,14336,nan,14336
nan,nan,0.0,nan,113,39.7980010509491,nan,413,14464,nan,14464
nan,nan,0.0,nan,114,40.10859394073486,nan,463,14592,nan,14592
nan,nan,0.0,nan,115,40.38559699058533,nan,459,14720,nan,14720
nan,nan,0.0,nan,116,40.666011333465576,nan,429,14848,nan,14848
nan,nan,0.0,nan,117,40.96474599838257,nan,372,14976,nan,14976
nan,nan,0.0,nan,118,41.30972909927368,nan,443,15104,nan,15104
nan,nan,0.0,nan,119,41.59986114501953,nan,401,15232,nan,15232
nan,nan,0.0,nan,120,41.920289039611816,nan,433,15360,nan,15360
nan,nan,0.0,nan,121,42.2165892124176,nan,425,15488,nan,15488
nan,nan,0.0,nan,122,42.51997900009155,nan,352,15616,nan,15616
nan,nan,0.0,nan,123,42.88432693481445,nan,448,15744,nan,15744
