,children,adolescents,adults,elderly
children,2.5655275820874235,0.6476766925900103,0.41886104802168045,0.05160337925864549
adolescents,0.5661079690661275,5.42415037443273,0.5049110852129032,0.034089169899722334
adults,0.19326361351291277,0.6030251113672879,0.8804055478137731,0.022281930866237986
elderly,0.024242820920080666,0.04729770691776921,0.07051290061313159,0.03444371239735566
